"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1982,"Copper River","sockeye",NA,"Commercial","Report",1307299
1982,"Kodiak","chinook",NA,"Commercial","Report",1214
1982,"Kodiak","chum",NA,"Commercial","Report",1262587
1982,"Kodiak","coho",NA,"Commercial","Report",344823
1982,"Kodiak","pink",NA,"Commercial","Report",8089780
1982,"Kodiak","sockeye",NA,"Commercial","Report",1203787
1982,"Kotzebue","chinook",0,"Commercial",NA,67
1982,"Kotzebue","chum",NA,"Commercial","Report",417790
1982,"Kotzebue","pink",0,"Commercial",NA,0
1982,"Kuskokwim","chinook",NA,"Commercial","Report",79816
1982,"Kuskokwim","chum",NA,"Commercial","Report",326481
1982,"Kuskokwim","coho",NA,"Commercial","Report",567452
1982,"Kuskokwim","pink",NA,"Commercial","Report",18259
1982,"Kuskokwim","sockeye",NA,"Commercial","Report",97716
1982,"Norton Sound","chinook",NA,"Commercial","Report",5892
1982,"Norton Sound","chum",NA,"Commercial","Report",183335
1982,"Norton Sound","coho",NA,"Commercial","Report",91690
1982,"Norton Sound","pink",NA,"Commercial","Report",230281
1982,"Norton Sound","sockeye",NA,"Commercial","Report",10
1982,"Prince William Sound","chinook",0,"Commercial",NA,249
1982,"Prince William Sound","chum",0,"Commercial",NA,1328851
1982,"Prince William Sound","coho",0,"Commercial",NA,30132
1982,"Prince William Sound","pink",0,"Commercial",NA,18994383
1982,"Prince William Sound","sockeye",0,"Commercial",NA,1054205
1982,"Southeast","chinook",0,"Commercial",NA,296385
1982,"Southeast","chum",0,"Commercial",NA,1299909
1982,"Southeast","coho",0,"Commercial",NA,2080743
1982,"Southeast","pink",0,"Commercial",NA,23445169
1982,"Southeast","sockeye",0,"Commercial",NA,1423128
1982,"Yukon","chinook",0,"Commercial",NA,123041
1982,"Yukon","chum",0,"Commercial",NA,683732
1982,"Yukon","coho",0,"Commercial",NA,36896
1983,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",55577
1983,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",2052379
1983,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",202795
1983,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",2831026
1983,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",4646699
1983,"Bristol Bay","chinook",0,"Commercial",NA,198347
1983,"Bristol Bay","chum",0,"Commercial",NA,1630899
1983,"Bristol Bay","coho",0,"Commercial",NA,128101
1983,"Bristol Bay","pink",0,"Commercial",NA,484
